closure,baseline_rmse_T,member_rmse_T,noise_floor
keps,3.3553834103902287,3.355174|3.355334|3.355254|3.355140,0.00019404443587545117
komega,3.3279364146999013,3.328967|3.326445|3.326017|3.331187,0.005170251022663219
kpp,3.336407028881222,3.336325|3.336450|3.336494|3.336333,0.0001694179926521322
