date,concentration_pct,status_flag
2018-08-03,0.0,4
2018-08-13,0.0,4
2018-08-23,0.0,4
2018-09-02,0.0,128
2018-09-12,0.0,128
2018-09-22,0.0,128
2018-10-02,0.0,4
2018-10-12,0.0,4
2018-10-22,0.0,4
2018-11-01,0.0,4
2018-11-11,0.0,4
2018-11-21,0.0,4
2018-12-01,0.0,4
2018-12-11,0.0,4
2018-12-21,0.0,4
2018-12-31,0.0,4
2019-01-10,0.0,4
2019-01-20,0.0,4
2019-01-30,0.0,4
2019-02-09,0.0,4
2019-02-19,0.0,4
2019-03-01,0.0,4
2019-03-11,0.0,4
2019-03-21,0.0,4
2019-03-31,0.0,4
2019-04-10,0.0,4
2019-04-20,0.0,4
2019-04-30,0.0,4
2019-05-10,0.0,4
2019-05-20,0.0,4
2019-05-30,0.0,4
2019-06-09,0.0,4
2019-06-19,0.0,4
2019-06-29,0.0,4
2019-07-09,0.0,4
2019-07-19,0.0,4
2019-07-29,0.0,20
2019-08-08,0.0,4
