2018/08/10 03:00:00  -1.899 5.205 1007.75   0.507  -1.066 1.000 2.902e-09 0.00 327.67
2018/08/10 06:00:00  -2.912 4.725 1008.07   0.587  -0.910 1.000 1.858e-09 5.63 332.48
2018/08/10 09:00:00  -3.899 3.427 1008.78   0.641  -0.833 0.993 1.926e-09 129.32 332.83
2018/08/10 12:00:00  -5.252 2.675 1008.70   0.964  -0.481 0.968 5.740e-10 296.65 320.67
2018/08/10 15:00:00  -7.018 2.696 1009.01   1.244  -0.475 1.000 5.067e-10 382.75 311.44
2018/08/10 18:00:00  -7.816 1.658 1008.79   1.257  -0.616 1.000 9.781e-11 206.49 315.42
2018/08/10 21:00:00  -8.815 0.427 1009.36   1.126  -0.551 0.994 1.270e-08 48.50 317.88
2018/08/11 00:00:00  -9.415 -1.095 1009.28   1.236  -0.377 0.994 3.463e-08 0.00 318.85
2018/08/11 03:00:00  -8.689 -0.395 1009.23   1.057  -0.331 0.999 8.691e-08 0.00 335.25
2018/08/11 06:00:00  -8.516 -0.185 1009.38   1.073  -0.419 1.000 1.310e-07 3.86 329.54
2018/08/11 09:00:00  -8.558 -0.296 1010.44   1.108  -0.428 1.000 4.483e-08 28.14 351.65
2018/08/11 12:00:00  -7.819 -1.190 1011.46   1.340  -0.593 1.000 2.099e-08 63.25 350.82
2018/08/11 15:00:00  -6.138 -2.477 1012.52   1.153  -0.758 1.000 4.851e-09 104.79 350.04
2018/08/11 18:00:00  -5.355 -3.050 1013.21   0.290  -0.976 1.000 1.041e-09 159.16 340.16
2018/08/11 21:00:00  -5.120 -4.316 1013.65  -0.705  -1.069 0.981 2.252e-10 59.36 324.02
2018/08/12 00:00:00  -5.454 -4.799 1013.82  -1.490  -1.586 1.000 8.926e-10 0.00 327.88
2018/08/12 03:00:00  -6.370 -4.312 1012.97  -1.453  -1.538 1.000 1.045e-09 0.00 327.88
2018/08/12 06:00:00  -5.575 -3.650 1012.15  -1.326  -1.452 1.000 3.045e-09 3.55 328.97
2018/08/12 09:00:00  -4.265 -2.880 1012.22  -1.036  -1.235 0.980 7.786e-10 151.51 320.09
2018/08/12 12:00:00  -3.387 -2.472 1011.73  -0.255  -0.622 0.838 1.637e-08 378.82 314.86
2018/08/12 15:00:00  -3.006 -2.752 1011.29  -0.232  -0.531 0.853 5.469e-10 499.69 305.18
2018/08/12 18:00:00  -3.574 -2.625 1010.97  -0.247  -0.533 0.954 5.618e-10 335.13 304.61
2018/08/12 21:00:00  -3.761 -2.361 1010.30  -0.311  -0.602 0.834 1.428e-10 96.60 313.91
2018/08/13 00:00:00  -4.170 -1.658 1010.03  -0.229  -0.561 0.597 3.885e-10 0.00 318.71
2018/08/13 03:00:00  -4.923 -1.614 1009.41  -0.487  -0.682 1.000 5.262e-10 0.00 335.55
2018/08/13 06:00:00  -4.345 -1.732 1008.64  -0.673  -0.890 0.935 3.266e-10 2.19 336.26
2018/08/13 09:00:00  -4.862 -2.406 1008.53  -0.479  -0.734 0.987 4.130e-10 107.53 333.05
2018/08/13 12:00:00  -4.770 -1.959 1007.98  -0.394  -0.665 0.980 4.931e-10 169.43 336.58
2018/08/13 15:00:00  -5.340 -2.897 1006.84  -0.031  -0.424 0.882 0.000e+00 308.32 327.28
2018/08/13 18:00:00  -5.109 -2.576 1005.66  -0.252  -0.599 0.657 1.746e-11 199.16 320.03
2018/08/13 21:00:00  -5.171 -4.032 1004.53  -0.696  -0.880 0.769 9.008e-11 73.16 323.65
2018/08/14 00:00:00  -5.785 -4.818 1003.12  -0.815  -0.993 1.000 2.288e-10 0.00 332.21
2018/08/14 03:00:00  -6.548 -5.117 1001.23  -0.526  -0.947 0.940 2.822e-10 0.00 326.64
2018/08/14 06:00:00  -7.636 -4.979 999.99  -0.702  -1.084 0.904 1.024e-09 1.89 326.70
2018/08/14 09:00:00  -7.797 -5.447 999.50  -0.930  -1.449 0.964 1.326e-09 117.42 327.59
2018/08/14 12:00:00  -7.819 -5.636 998.41  -0.390  -1.083 0.984 7.527e-10 295.31 325.24
2018/08/14 15:00:00  -6.762 -6.529 997.47  -0.236  -0.932 1.000 9.565e-10 316.03 331.11
2018/08/14 18:00:00  -6.634 -7.232 996.08  -0.026  -0.815 1.000 1.653e-09 169.74 329.42
2018/08/14 21:00:00  -6.434 -7.608 995.36   0.438  -0.509 0.956 7.350e-10 63.27 314.87
2018/08/15 00:00:00  -8.065 -7.977 995.08   0.806  -0.247 0.886 3.538e-10 0.00 285.87
2018/08/15 03:00:00  -9.074 -8.578 995.00   0.517  -0.243 1.000 1.231e-09 0.00 339.87
2018/08/15 06:00:00  -8.514 -9.110 995.52   0.412  -0.496 1.000 7.520e-10 1.09 340.07
2018/08/15 09:00:00  -6.389 -9.400 996.90   0.111  -0.698 1.000 1.102e-09 74.88 340.50
