2018/08/04 12:00:00 250 2
    -1.000     4.2821
    -3.000     4.1318
    -5.000     4.5192
    -7.000     4.5853
    -9.000     4.5965
   -11.000     4.1513
   -13.000     4.0761
   -15.000     3.9565
   -17.000     3.1190
   -19.000     2.5841
   -21.000     2.6043
   -23.000     2.9552
   -25.000     3.1639
   -27.000     3.0917
   -29.000     3.1900
   -31.000     3.0932
   -33.000     2.9931
   -35.000     2.9908
   -37.000     3.1054
   -39.000     2.5825
   -41.000     2.4018
   -43.000     3.9062
   -45.000     5.3326
   -47.000     5.8966
   -49.000     5.8499
   -51.000     5.8033
   -53.000     5.7566
   -55.000     5.8332
   -57.000     5.6194
   -59.000     5.2168
   -61.000     5.2133
   -63.000     5.2294
   -65.000     4.9171
   -67.000     4.6475
   -69.000     4.5265
   -71.000     4.9805
   -73.000     4.9753
   -75.000     4.6623
   -77.000     4.3943
   -79.000     4.1276
   -81.000     4.0295
   -83.000     3.5649
   -85.000     3.0428
   -87.000     2.6485
   -89.000     2.5828
   -91.000     2.4239
   -93.000     2.3468
   -95.000     2.3207
   -97.000     2.3883
   -99.000     2.4837
  -101.000     2.4925
  -103.000     2.7211
  -105.000     3.1152
  -107.000     3.4805
  -109.000     3.3419
  -111.000     3.4140
  -113.000     3.6079
  -115.000     3.9574
  -117.000     3.9109
  -119.000     3.6938
  -121.000     3.3624
  -123.000     3.3610
  -125.000     3.2696
  -127.000     3.2245
  -129.000     3.4031
  -131.000     3.3882
  -133.000     3.3387
  -135.000     3.3754
  -137.000     3.5762
  -139.000     3.8265
  -141.000     3.9327
  -143.000     4.0917
  -145.000     4.2965
  -147.000     4.2863
  -149.000     4.3383
  -151.000     4.2367
  -153.000     4.1676
  -155.000     4.0495
  -157.000     3.9254
  -159.000     3.8947
  -161.000     3.9140
  -163.000     3.9950
  -165.000     4.3964
  -167.000     4.5815
  -169.000     4.9284
  -171.000     4.9839
  -173.000     5.0054
  -175.000     5.0099
  -177.000     5.0032
  -179.000     4.9721
  -181.000     4.8935
  -183.000     4.8292
  -185.000     4.6312
  -187.000     4.4528
  -189.000     4.4039
  -191.000     4.3408
  -193.000     4.2846
  -195.000     3.7250
  -197.000     3.2881
  -199.000     2.9070
  -201.000     2.2952
  -203.000     1.6809
  -205.000     1.3429
  -207.000     1.3408
  -209.000     1.2388
  -211.000     1.2139
  -213.000     1.1907
  -215.000     1.1428
  -217.000     0.9251
  -219.000     0.8329
  -221.000     0.8848
  -223.000     0.8871
  -225.000     0.8878
  -227.000     0.8451
  -229.000     0.7975
  -231.000     0.8087
  -233.000     1.1253
  -235.000     1.3237
  -237.000     1.3168
  -239.000     1.2999
  -241.000     1.2720
  -243.000     1.2513
  -245.000     1.3052
  -247.000     1.3377
  -249.000     1.3443
  -251.000     1.3401
  -253.000     1.3284
  -255.000     1.2434
  -257.000     1.2234
  -259.000     1.2230
  -261.000     1.1070
  -263.000     1.0429
  -265.000     1.0134
  -267.000     0.9367
  -269.000     0.9245
  -271.000     0.9193
  -273.000     0.9190
  -275.000     0.9160
  -277.000     0.9156
  -279.000     0.8978
  -281.000     0.8881
  -283.000     0.8727
  -285.000     0.8545
  -287.000     0.8381
  -289.000     0.8175
  -291.000     0.8140
  -293.000     0.7977
  -295.000     0.7794
  -297.000     0.7755
  -299.000     0.7692
  -301.000     0.7664
  -303.000     0.7609
  -305.000     0.7576
  -307.000     0.7541
  -309.000     0.7486
  -311.000     0.7441
  -313.000     0.7369
  -315.000     0.7354
  -317.000     0.7355
  -319.000     0.7322
  -321.000     0.7295
  -323.000     0.7246
  -325.000     0.7182
  -327.000     0.7138
  -329.000     0.7116
  -331.000     0.7013
  -333.000     0.6928
  -335.000     0.6907
  -337.000     0.6906
  -339.000     0.6894
  -341.000     0.6865
  -343.000     0.6860
  -345.000     0.6844
  -347.000     0.6745
  -349.000     0.6661
  -351.000     0.6633
  -353.000     0.6578
  -355.000     0.6526
  -357.000     0.6512
  -359.000     0.6454
  -361.000     0.6419
  -363.000     0.6393
  -365.000     0.6391
  -367.000     0.6100
  -369.000     0.6034
  -371.000     0.6008
  -373.000     0.5947
  -375.000     0.5899
  -377.000     0.5877
  -379.000     0.5850
  -381.000     0.5820
  -383.000     0.5716
  -385.000     0.5613
  -387.000     0.5446
  -389.000     0.5313
  -391.000     0.5085
  -393.000     0.4727
  -395.000     0.4713
  -397.000     0.4696
  -399.000     0.4478
  -401.000     0.4437
  -403.000     0.4241
  -405.000     0.4014
  -407.000     0.3815
  -409.000     0.3768
  -411.000     0.3680
  -413.000     0.3637
  -415.000     0.3645
  -417.000     0.3675
  -419.000     0.3669
  -421.000     0.3686
  -423.000     0.3704
  -425.000     0.3692
  -427.000     0.3679
  -429.000     0.3680
  -431.000     0.3667
  -433.000     0.3673
  -435.000     0.3665
  -437.000     0.3667
  -439.000     0.3645
  -441.000     0.3625
  -443.000     0.3536
  -445.000     0.3526
  -447.000     0.3542
  -449.000     0.3528
  -451.000     0.3513
  -453.000     0.3510
  -455.000     0.3511
  -457.000     0.3497
  -459.000     0.3516
  -461.000     0.3461
  -463.000     0.3460
  -465.000     0.3464
  -467.000     0.3468
  -469.000     0.3471
  -471.000     0.3479
  -473.000     0.3471
  -475.000     0.3474
  -477.000     0.3477
  -479.000     0.3477
  -481.000     0.3476
  -483.000     0.3473
  -485.000     0.3475
  -487.000     0.3474
  -489.000     0.3473
  -491.000     0.3478
  -493.000     0.3468
  -495.000     0.3465
  -497.000     0.3468
  -499.000     0.3460
