2018/10/13 12:00:00 250 2
    -1.000     7.2132
    -3.000     7.2177
    -5.000     7.2145
    -7.000     7.2205
    -9.000     7.2194
   -11.000     7.2206
   -13.000     7.2189
   -15.000     7.2217
   -17.000     7.2191
   -19.000     7.2198
   -21.000     7.2343
   -23.000     7.2337
   -25.000     7.2339
   -27.000     7.2342
   -29.000     7.2356
   -31.000     7.2349
   -33.000     7.2341
   -35.000     7.2349
   -37.000     7.2363
   -39.000     7.2375
   -41.000     7.2390
   -43.000     7.2386
   -45.000     7.2378
   -47.000     7.2388
   -49.000     7.2394
   -51.000     7.2399
   -53.000     7.2408
   -55.000     7.2412
   -57.000     7.2415
   -59.000     7.2419
   -61.000     7.2427
   -63.000     7.2436
   -65.000     7.2446
   -67.000     7.2454
   -69.000     7.2454
   -71.000     7.2457
   -73.000     7.2460
   -75.000     7.2467
   -77.000     7.2467
   -79.000     7.2485
   -81.000     7.2485
   -83.000     7.2489
   -85.000     7.2489
   -87.000     7.2474
   -89.000     7.2458
   -91.000     7.2456
   -93.000     7.2438
   -95.000     7.2308
   -97.000     7.2270
   -99.000     7.2172
  -101.000     7.2145
  -103.000     7.2138
  -105.000     7.2110
  -107.000     7.2089
  -109.000     7.2054
  -111.000     7.2017
  -113.000     7.1868
  -115.000     7.1700
  -117.000     7.1597
  -119.000     7.1517
  -121.000     7.1493
  -123.000     7.1480
  -125.000     7.1496
  -127.000     7.1460
  -129.000     7.1414
  -131.000     7.1360
  -133.000     7.1263
  -135.000     7.1049
  -137.000     7.0912
  -139.000     7.0876
  -141.000     7.0840
  -143.000     7.0850
  -145.000     7.0858
  -147.000     7.0867
  -149.000     7.0832
  -151.000     7.0779
  -153.000     7.0712
  -155.000     7.0639
  -157.000     7.0569
  -159.000     7.0478
  -161.000     7.0441
  -163.000     7.0353
  -165.000     7.0247
  -167.000     7.0166
  -169.000     7.0154
  -171.000     6.9995
  -173.000     6.9991
  -175.000     6.9767
  -177.000     6.9569
  -179.000     6.9475
  -181.000     6.9340
  -183.000     6.9159
  -185.000     6.9042
  -187.000     6.8951
  -189.000     6.8909
  -191.000     6.8886
  -193.000     6.8697
  -195.000     6.8502
  -197.000     6.8394
  -199.000     6.8370
  -201.000     6.8312
  -203.000     6.8128
  -205.000     6.7848
  -207.000     6.7615
  -209.000     6.7477
  -211.000     6.7401
  -213.000     6.7314
  -215.000     6.7249
  -217.000     6.7169
  -219.000     6.7119
  -221.000     6.7075
  -223.000     6.7042
  -225.000     6.7038
  -227.000     6.7012
  -229.000     6.6944
  -231.000     6.6870
  -233.000     6.6797
  -235.000     6.6668
  -237.000     6.6434
  -239.000     6.6362
  -241.000     6.5971
  -243.000     6.5607
  -245.000     6.5495
  -247.000     6.5456
  -249.000     6.5445
  -251.000     6.5399
  -253.000     6.5292
  -255.000     6.5146
  -257.000     6.5034
  -259.000     6.5005
  -261.000     6.4950
  -263.000     6.4585
  -265.000     6.4580
  -267.000     6.4535
  -269.000     6.4527
  -271.000     6.4455
  -273.000     6.4399
  -275.000     6.4400
  -277.000     6.4389
  -279.000     6.4360
  -281.000     6.4359
  -283.000     6.4358
  -285.000     6.4234
  -287.000     6.3871
  -289.000     6.3061
  -291.000     6.2832
  -293.000     6.2825
  -295.000     6.2059
  -297.000     6.1998
  -299.000     6.1763
  -301.000     6.1272
  -303.000     6.1065
  -305.000     6.0819
  -307.000     6.0733
  -309.000     6.0681
  -311.000     6.0212
  -313.000     5.9171
  -315.000     5.8220
  -317.000     5.4694
  -319.000     5.2933
  -321.000     5.0707
  -323.000     4.7044
  -325.000     4.3962
  -327.000     4.0204
  -329.000     2.9237
  -331.000     2.4006
  -333.000     2.2590
  -335.000     1.9878
  -337.000     1.6345
  -339.000     1.4352
  -341.000     1.3554
  -343.000     1.2367
  -345.000     1.2361
  -347.000     1.2643
  -349.000     1.2385
  -351.000     1.1710
  -353.000     1.1391
  -355.000     1.1048
  -357.000     1.0327
  -359.000     1.0030
  -361.000     0.9073
  -363.000     0.8491
  -365.000     0.8765
  -367.000     0.7301
  -369.000     0.7010
  -371.000     0.6925
  -373.000     0.6885
  -375.000     0.6863
  -377.000     0.6829
  -379.000     0.6826
  -381.000     0.6829
  -383.000     0.6922
  -385.000     0.7417
  -387.000     0.7405
  -389.000     0.7360
  -391.000     0.7348
  -393.000     0.7328
  -395.000     0.7241
  -397.000     0.7204
  -399.000     0.7185
  -401.000     0.7080
  -403.000     0.6843
  -405.000     0.6467
  -407.000     0.6272
  -409.000     0.6188
  -411.000     0.6074
  -413.000     0.5944
  -415.000     0.5694
  -417.000     0.5485
  -419.000     0.5457
  -421.000     0.5404
  -423.000     0.5190
  -425.000     0.4971
  -427.000     0.4767
  -429.000     0.4629
  -431.000     0.4416
  -433.000     0.4299
  -435.000     0.3978
  -437.000     0.3763
  -439.000     0.2922
  -441.000     0.2385
  -443.000     0.2390
  -445.000     0.2875
  -447.000     0.2891
  -449.000     0.3084
  -451.000     0.2834
  -453.000     0.2670
  -455.000     0.2626
  -457.000     0.2329
  -459.000     0.1917
  -461.000     0.2105
  -463.000     0.2059
  -465.000     0.2168
  -467.000     0.2053
  -469.000     0.2045
  -471.000     0.2044
  -473.000     0.1973
  -475.000     0.1893
  -477.000     0.1914
  -479.000     0.1979
  -481.000     0.1968
  -483.000     0.1967
  -485.000     0.1965
  -487.000     0.1975
  -489.000     0.1958
  -491.000     0.1975
  -493.000     0.2047
  -495.000     0.1989
  -497.000     0.1876
  -499.000     0.1698
